run_uuid,key,value
1457b16aea964db6ac2e3027310cc327,training_mode,species_only
1457b16aea964db6ac2e3027310cc327,seed,42
1457b16aea964db6ac2e3027310cc327,lambda_sex,0.3
1457b16aea964db6ac2e3027310cc327,lambda_form,0.2
1457b16aea964db6ac2e3027310cc327,num_params_M,27.53
1457b16aea964db6ac2e3027310cc327,inference_ms,24.98
86b32a9b65e14ab9a8692379a7125cad,architecture,swin_tiny
86b32a9b65e14ab9a8692379a7125cad,learning_rate,0.0001
86b32a9b65e14ab9a8692379a7125cad,batch_size,16
86b32a9b65e14ab9a8692379a7125cad,num_epochs,100
86b32a9b65e14ab9a8692379a7125cad,num_classes,10
86b32a9b65e14ab9a8692379a7125cad,preprocessing,bbox
86b32a9b65e14ab9a8692379a7125cad,training_mode,species_only
86b32a9b65e14ab9a8692379a7125cad,seed,123
86b32a9b65e14ab9a8692379a7125cad,lambda_sex,0.3
86b32a9b65e14ab9a8692379a7125cad,lambda_form,0.2
86b32a9b65e14ab9a8692379a7125cad,num_params_M,27.53
86b32a9b65e14ab9a8692379a7125cad,inference_ms,23.15
735483d491a94942ae6220f5e55a41b2,architecture,swin_tiny
735483d491a94942ae6220f5e55a41b2,learning_rate,0.0001
735483d491a94942ae6220f5e55a41b2,batch_size,16
735483d491a94942ae6220f5e55a41b2,num_epochs,100
735483d491a94942ae6220f5e55a41b2,num_classes,10
735483d491a94942ae6220f5e55a41b2,preprocessing,bbox
735483d491a94942ae6220f5e55a41b2,training_mode,species_only
735483d491a94942ae6220f5e55a41b2,seed,456
735483d491a94942ae6220f5e55a41b2,lambda_sex,0.3
735483d491a94942ae6220f5e55a41b2,lambda_form,0.2
735483d491a94942ae6220f5e55a41b2,num_params_M,27.53
735483d491a94942ae6220f5e55a41b2,inference_ms,23.43
d182f45bc3ba4ad08bdd9c89f0a33f97,architecture,swin_tiny
d182f45bc3ba4ad08bdd9c89f0a33f97,learning_rate,0.0001
d182f45bc3ba4ad08bdd9c89f0a33f97,batch_size,16
d182f45bc3ba4ad08bdd9c89f0a33f97,num_epochs,100
d182f45bc3ba4ad08bdd9c89f0a33f97,num_classes,10
d182f45bc3ba4ad08bdd9c89f0a33f97,preprocessing,bbox
d182f45bc3ba4ad08bdd9c89f0a33f97,training_mode,multi_task
d182f45bc3ba4ad08bdd9c89f0a33f97,seed,42
d182f45bc3ba4ad08bdd9c89f0a33f97,lambda_sex,0.3
d182f45bc3ba4ad08bdd9c89f0a33f97,lambda_form,0.2
d182f45bc3ba4ad08bdd9c89f0a33f97,num_params_M,27.53
d182f45bc3ba4ad08bdd9c89f0a33f97,inference_ms,24.53
07842689cfe7493293a438221faa046b,architecture,swin_tiny
07842689cfe7493293a438221faa046b,learning_rate,0.0001
07842689cfe7493293a438221faa046b,batch_size,16
07842689cfe7493293a438221faa046b,num_epochs,100
07842689cfe7493293a438221faa046b,num_classes,10
07842689cfe7493293a438221faa046b,preprocessing,bbox
07842689cfe7493293a438221faa046b,training_mode,multi_task
07842689cfe7493293a438221faa046b,seed,123
07842689cfe7493293a438221faa046b,lambda_sex,0.3
07842689cfe7493293a438221faa046b,lambda_form,0.2
07842689cfe7493293a438221faa046b,num_params_M,27.53
07842689cfe7493293a438221faa046b,inference_ms,24.02
a78d8ebc25884f4cbc604ea8c40d5519,architecture,swin_tiny
a78d8ebc25884f4cbc604ea8c40d5519,learning_rate,0.0001
a78d8ebc25884f4cbc604ea8c40d5519,batch_size,16
a78d8ebc25884f4cbc604ea8c40d5519,num_epochs,100
a78d8ebc25884f4cbc604ea8c40d5519,num_classes,10
a78d8ebc25884f4cbc604ea8c40d5519,preprocessing,bbox
a78d8ebc25884f4cbc604ea8c40d5519,training_mode,multi_task
a78d8ebc25884f4cbc604ea8c40d5519,seed,456
a78d8ebc25884f4cbc604ea8c40d5519,lambda_sex,0.3
a78d8ebc25884f4cbc604ea8c40d5519,lambda_form,0.2
a78d8ebc25884f4cbc604ea8c40d5519,num_params_M,27.53
a78d8ebc25884f4cbc604ea8c40d5519,inference_ms,23.0
dbbc5f79e783456d87e07096c19bca26,architecture,swin_tiny
dbbc5f79e783456d87e07096c19bca26,learning_rate,0.0001
dbbc5f79e783456d87e07096c19bca26,batch_size,16
dbbc5f79e783456d87e07096c19bca26,num_epochs,100
dbbc5f79e783456d87e07096c19bca26,num_classes,10
dbbc5f79e783456d87e07096c19bca26,preprocessing,seg_hard
dbbc5f79e783456d87e07096c19bca26,training_mode,species_only
dbbc5f79e783456d87e07096c19bca26,seed,42
dbbc5f79e783456d87e07096c19bca26,lambda_sex,0.3
dbbc5f79e783456d87e07096c19bca26,lambda_form,0.2
dbbc5f79e783456d87e07096c19bca26,num_params_M,27.53
dbbc5f79e783456d87e07096c19bca26,inference_ms,12.72
424446f81e4643aaa43bb40798a8864c,architecture,swin_tiny
424446f81e4643aaa43bb40798a8864c,learning_rate,0.0001
424446f81e4643aaa43bb40798a8864c,batch_size,16
424446f81e4643aaa43bb40798a8864c,num_epochs,100
424446f81e4643aaa43bb40798a8864c,num_classes,10
424446f81e4643aaa43bb40798a8864c,preprocessing,seg_hard
424446f81e4643aaa43bb40798a8864c,training_mode,species_only
424446f81e4643aaa43bb40798a8864c,seed,123
424446f81e4643aaa43bb40798a8864c,lambda_sex,0.3
424446f81e4643aaa43bb40798a8864c,lambda_form,0.2
424446f81e4643aaa43bb40798a8864c,num_params_M,27.53
424446f81e4643aaa43bb40798a8864c,inference_ms,12.08
99bbeec3d2814912a4ba2c18fb31217f,architecture,swin_tiny
99bbeec3d2814912a4ba2c18fb31217f,learning_rate,0.0001
99bbeec3d2814912a4ba2c18fb31217f,batch_size,16
99bbeec3d2814912a4ba2c18fb31217f,num_epochs,100
99bbeec3d2814912a4ba2c18fb31217f,num_classes,10
99bbeec3d2814912a4ba2c18fb31217f,preprocessing,seg_hard
99bbeec3d2814912a4ba2c18fb31217f,training_mode,species_only
99bbeec3d2814912a4ba2c18fb31217f,seed,456
99bbeec3d2814912a4ba2c18fb31217f,lambda_sex,0.3
99bbeec3d2814912a4ba2c18fb31217f,lambda_form,0.2
99bbeec3d2814912a4ba2c18fb31217f,num_params_M,27.53
99bbeec3d2814912a4ba2c18fb31217f,inference_ms,17.59
b60470af8d3f4de2b89372af309e3c97,architecture,swin_tiny
b60470af8d3f4de2b89372af309e3c97,learning_rate,0.0001
b60470af8d3f4de2b89372af309e3c97,batch_size,16
b60470af8d3f4de2b89372af309e3c97,num_epochs,100
b60470af8d3f4de2b89372af309e3c97,num_classes,10
b60470af8d3f4de2b89372af309e3c97,preprocessing,seg_hard
b60470af8d3f4de2b89372af309e3c97,training_mode,multi_task
b60470af8d3f4de2b89372af309e3c97,seed,42
b60470af8d3f4de2b89372af309e3c97,lambda_sex,0.3
b60470af8d3f4de2b89372af309e3c97,lambda_form,0.2
b60470af8d3f4de2b89372af309e3c97,num_params_M,27.53
b60470af8d3f4de2b89372af309e3c97,inference_ms,14.45
e0dda43c5f0e4bf8b85ee224495c82b2,architecture,swin_tiny
e0dda43c5f0e4bf8b85ee224495c82b2,learning_rate,0.0001
e0dda43c5f0e4bf8b85ee224495c82b2,batch_size,16
e0dda43c5f0e4bf8b85ee224495c82b2,num_epochs,100
e0dda43c5f0e4bf8b85ee224495c82b2,num_classes,10
e0dda43c5f0e4bf8b85ee224495c82b2,preprocessing,seg_hard
e0dda43c5f0e4bf8b85ee224495c82b2,training_mode,multi_task
e0dda43c5f0e4bf8b85ee224495c82b2,seed,123
e0dda43c5f0e4bf8b85ee224495c82b2,lambda_sex,0.3
e0dda43c5f0e4bf8b85ee224495c82b2,lambda_form,0.2
e0dda43c5f0e4bf8b85ee224495c82b2,num_params_M,27.53
e0dda43c5f0e4bf8b85ee224495c82b2,inference_ms,17.23
c806155cc36145bab4e9b92d88148f2e,architecture,swin_tiny
c806155cc36145bab4e9b92d88148f2e,learning_rate,0.0001
c806155cc36145bab4e9b92d88148f2e,batch_size,16
c806155cc36145bab4e9b92d88148f2e,num_epochs,100
c806155cc36145bab4e9b92d88148f2e,num_classes,10
c806155cc36145bab4e9b92d88148f2e,preprocessing,seg_hard
c806155cc36145bab4e9b92d88148f2e,training_mode,multi_task
c806155cc36145bab4e9b92d88148f2e,seed,456
c806155cc36145bab4e9b92d88148f2e,lambda_sex,0.3
c806155cc36145bab4e9b92d88148f2e,lambda_form,0.2
c806155cc36145bab4e9b92d88148f2e,num_params_M,27.53
c806155cc36145bab4e9b92d88148f2e,inference_ms,13.0
381e9536b2394ff2a00bc03813817b3a,architecture,swin_tiny
381e9536b2394ff2a00bc03813817b3a,learning_rate,0.0001
381e9536b2394ff2a00bc03813817b3a,batch_size,16
381e9536b2394ff2a00bc03813817b3a,num_epochs,100
381e9536b2394ff2a00bc03813817b3a,num_classes,10
381e9536b2394ff2a00bc03813817b3a,preprocessing,seg_soft
381e9536b2394ff2a00bc03813817b3a,training_mode,species_only
381e9536b2394ff2a00bc03813817b3a,seed,42
381e9536b2394ff2a00bc03813817b3a,lambda_sex,0.3
381e9536b2394ff2a00bc03813817b3a,lambda_form,0.2
381e9536b2394ff2a00bc03813817b3a,num_params_M,27.53
381e9536b2394ff2a00bc03813817b3a,inference_ms,15.69
a0db5da279054306856cab6b3dcaba88,architecture,swin_tiny
a0db5da279054306856cab6b3dcaba88,learning_rate,0.0001
a0db5da279054306856cab6b3dcaba88,batch_size,16
a0db5da279054306856cab6b3dcaba88,num_epochs,100
a0db5da279054306856cab6b3dcaba88,num_classes,10
a0db5da279054306856cab6b3dcaba88,preprocessing,seg_soft
a0db5da279054306856cab6b3dcaba88,training_mode,species_only
a0db5da279054306856cab6b3dcaba88,seed,123
a0db5da279054306856cab6b3dcaba88,lambda_sex,0.3
a0db5da279054306856cab6b3dcaba88,lambda_form,0.2
a0db5da279054306856cab6b3dcaba88,num_params_M,27.53
a0db5da279054306856cab6b3dcaba88,inference_ms,12.03
a4a312ba40024f7f90138e2da0293409,architecture,swin_tiny
a4a312ba40024f7f90138e2da0293409,learning_rate,0.0001
a4a312ba40024f7f90138e2da0293409,batch_size,16
a4a312ba40024f7f90138e2da0293409,num_epochs,100
a4a312ba40024f7f90138e2da0293409,num_classes,10
a4a312ba40024f7f90138e2da0293409,preprocessing,seg_soft
a4a312ba40024f7f90138e2da0293409,training_mode,species_only
a4a312ba40024f7f90138e2da0293409,seed,456
a4a312ba40024f7f90138e2da0293409,lambda_sex,0.3
a4a312ba40024f7f90138e2da0293409,lambda_form,0.2
a4a312ba40024f7f90138e2da0293409,num_params_M,27.53
a4a312ba40024f7f90138e2da0293409,inference_ms,13.06
9fe6191c0f66458b8e30b69bdada8bac,architecture,swin_tiny
9fe6191c0f66458b8e30b69bdada8bac,learning_rate,0.0001
9fe6191c0f66458b8e30b69bdada8bac,batch_size,16
9fe6191c0f66458b8e30b69bdada8bac,num_epochs,100
9fe6191c0f66458b8e30b69bdada8bac,num_classes,10
9fe6191c0f66458b8e30b69bdada8bac,preprocessing,seg_soft
9fe6191c0f66458b8e30b69bdada8bac,training_mode,multi_task
9fe6191c0f66458b8e30b69bdada8bac,seed,42
9fe6191c0f66458b8e30b69bdada8bac,lambda_sex,0.3
9fe6191c0f66458b8e30b69bdada8bac,lambda_form,0.2
9fe6191c0f66458b8e30b69bdada8bac,num_params_M,27.53
9fe6191c0f66458b8e30b69bdada8bac,inference_ms,14.89
52994ced1522440583fcd475c1af229f,architecture,swin_tiny
52994ced1522440583fcd475c1af229f,learning_rate,0.0001
52994ced1522440583fcd475c1af229f,batch_size,16
52994ced1522440583fcd475c1af229f,num_epochs,100
52994ced1522440583fcd475c1af229f,num_classes,10
52994ced1522440583fcd475c1af229f,preprocessing,seg_soft
52994ced1522440583fcd475c1af229f,training_mode,multi_task
